n	Experimental	Theoretical
4330	106.02700	105.00597
4331	104.36900	105.01810
4332	106.17200	105.03022
4333	104.53300	105.04234
4334	103.79800	105.05446
4335	103.84300	105.06658
4336	104.53600	105.07870
4337	104.99500	105.09082
4338	104.58800	105.10293
4339	104.26000	105.11505
4340	104.59300	105.12716
4341	106.28800	105.13927
4342	105.08400	105.15138
4343	105.42300	105.16349
4344	106.06700	105.17559
4345	107.38800	105.18770
4346	105.41700	105.19980
4347	104.48900	105.21190
4348	105.16200	105.22400
4349	105.05500	105.23610
4350	103.70600	105.24820
4351	105.31500	105.26030
4352	105.24600	105.27239
4353	103.78900	105.28449
4354	105.33000	105.29658
4355	104.99000	105.30867
4356	107.46000	105.32076
4357	103.61800	105.33285
4358	105.48400	105.34494
4359	105.13400	105.35702
4360	106.20400	105.36911
4361	105.13100	105.38119
4362	104.52500	105.39327
4363	107.36400	105.40535
4364	105.75500	105.41743
4365	105.14200	105.42951
4366	105.24700	105.44158
4367	106.67200	105.45366
4368	105.35200	105.46573
4369	105.46700	105.47780
4370	105.68700	105.48987
4371	105.06900	105.50194
4372	104.20200	105.51401
4373	104.81600	105.52608
4374	104.52400	105.53814
4375	105.03100	105.55021
4376	106.81600	105.56227
4377	105.10300	105.57433
4378	104.97500	105.58639
4379	106.77100	105.59845
4380	106.39400	105.61050
4381	106.44800	105.62256
4382	106.58300	105.63461
4383	105.55000	105.64667
4384	103.92900	105.65872
4385	105.03200	105.67077
4386	106.11900	105.68281
4387	106.93000	105.69486
4388	105.33200	105.70691
4389	107.21100	105.71895
4390	105.45100	105.73099
4391	105.98900	105.74304
4392	105.60500	105.75508
4393	105.39700	105.76712
4394	105.75900	105.77915
4395	104.45400	105.79119
4396	105.35900	105.80322
4397	106.34600	105.81526
4398	105.05600	105.82729
4399	106.75600	105.83932
4400	107.22900	105.85135
4401	105.03100	105.86338
4402	106.15400	105.87540
4403	105.80900	105.88743
4404	105.37500	105.89945
4405	103.68400	105.91147
4406	105.85500	105.92350
4407	106.06100	105.93552
4408	105.66600	105.94753
4409	105.78400	105.95955
4410	106.71700	105.97157
4411	106.12100	105.98358
4412	105.31200	105.99559
4413	107.18200	106.00760
4414	106.07100	106.01961
4415	105.14200	106.03162
4416	106.01300	106.04363
4417	106.14900	106.05564
4418	106.08000	106.06764
4419	105.19300	106.07965
4420	106.73500	106.09165
4421	105.79000	106.10365
4422	106.00600	106.11565
4423	107.04800	106.12764
4424	105.76300	106.13964
4425	106.81200	106.15164
4426	106.32300	106.16363
4427	106.52400	106.17562
4428	104.35200	106.18761
4429	106.55000	106.19960
4430	106.12700	106.21159
4431	106.07000	106.22358
4432	105.37000	106.23557
4433	106.89900	106.24755
4434	105.67800	106.25953
4435	104.85700	106.27151
4436	105.24500	106.28349
4437	106.23700	106.29547
4438	105.17100	106.30745
4439	104.55700	106.31943
4440	104.93100	106.33140
4441	104.89100	106.34338
4442	105.84700	106.35535
4443	107.88800	106.36732
4444	106.31900	106.37929
4445	107.17700	106.39126
4446	106.57700	106.40322
4447	106.30100	106.41519
4448	106.43800	106.42715
4449	105.27000	106.43912
4450	105.91100	106.45108
4451	106.12800	106.46304
4452	105.15000	106.47500
4453	106.59300	106.48695
4454	106.68900	106.49891
4455	107.39900	106.51086
4456	106.51200	106.52282
4457	106.41900	106.53477
4458	108.13400	106.54672
4459	106.96700	106.55867
4460	105.91700	106.57062
4461	104.66900	106.58257
4462	106.37500	106.59451
4463	106.70200	106.60645
4464	105.78900	106.61840
4465	107.74400	106.63034
4466	107.33300	106.64228
4467	108.53100	106.65422
4468	107.17600	106.66615
4469	107.66400	106.67809
4470	107.18900	106.69003
4471	106.73500	106.70196
4472	106.58300	106.71389
4473	105.29300	106.72582
4474	107.68500	106.73775
4475	106.66400	106.74968
4476	107.42300	106.76161
4477	104.57400	106.77353
4478	107.31700	106.78545
4479	105.82000	106.79738
4480	106.20700	106.80930
4481	106.51800	106.82122
4482	105.84600	106.83314
4483	107.11700	106.84505
4484	106.40600	106.85697
4485	108.83200	106.86889
4486	108.06000	106.88080
4487	106.69000	106.89271
4488	109.21200	106.90462
4489	105.90300	106.91653
4490	107.11100	106.92844
4491	109.79000	106.94035
4492	106.82200	106.95225
4493	105.93300	106.96416
4494	108.08300	106.97606
4495	106.67300	106.98796
4496	106.75900	106.99986
4497	107.19100	107.01176
4498	107.06900	107.02366
4499	106.82800	107.03555
4500	105.92600	107.04745
4501	106.74100	107.05934
4502	106.81200	107.07123
4503	108.17100	107.08312
4504	106.39000	107.09501
4505	107.23700	107.10690
4506	106.68100	107.11879
4507	108.55600	107.13067
4508	107.80800	107.14256
4509	104.97300	107.15444
4510	105.57600	107.16632
4511	105.51400	107.17820
4512	105.01500	107.19008
4513	106.44000	107.20196
4514	107.41300	107.21384
4515	107.36800	107.22571
4516	108.23400	107.23758
4517	107.49700	107.24946
4518	108.36700	107.26133
4519	105.55100	107.27320
4520	105.83600	107.28507
4521	106.97400	107.29693
4522	106.71500	107.30880
4523	106.81800	107.32066
4524	106.46900	107.33253
4525	106.83300	107.34439
4526	107.39700	107.35625
4527	107.47100	107.36811
4528	107.77500	107.37997
4529	107.94700	107.39182
4530	107.37700	107.40368
4531	106.80500	107.41553
4532	106.12800	107.42739
4533	106.42900	107.43924
4534	107.52100	107.45109
4535	109.02600	107.46294
4536	105.81900	107.47478
4537	106.54700	107.48663
4538	106.49600	107.49847
4539	106.74300	107.51032
4540	107.28800	107.52216
4541	108.09500	107.53400
4542	105.62000	107.54584
4543	106.50400	107.55768
4544	107.01400	107.56952
4545	107.18800	107.58135
4546	107.23700	107.59319
4547	106.79700	107.60502
4548	108.70700	107.61685
4549	108.72600	107.62868
4550	107.65400	107.64051
4551	106.19800	107.65234
4552	106.80400	107.66417
4553	106.70600	107.67599
4554	106.35300	107.68782
4555	107.25200	107.69964
4556	107.41900	107.71146
4557	106.70300	107.72328
4558	107.88800	107.73510
4559	108.27200	107.74692
4560	107.29500	107.75873
4561	109.90900	107.77055
4562	107.07500	107.78236
4563	108.32100	107.79417
4564	107.73400	107.80599
4565	107.61000	107.81780
4566	107.96300	107.82960
4567	107.05700	107.84141
4568	107.00100	107.85322
4569	107.97800	107.86502
4570	110.42400	107.87683
4571	107.66800	107.88863
4572	106.71800	107.90043
4573	106.68700	107.91223
4574	108.42500	107.92403
4575	106.71200	107.93582
4576	107.28400	107.94762
4577	107.88300	107.95941
4578	106.07200	107.97121
4579	107.83100	107.98300
4580	107.45200	107.99479
4581	108.61100	108.00658
4582	109.40000	108.01837
4583	107.91000	108.03015
4584	106.69200	108.04194
4585	108.55100	108.05372
4586	107.73800	108.06550
4587	106.70900	108.07729
4588	107.94300	108.08907
4589	107.69300	108.10084
4590	107.37200	108.11262
4591	108.46800	108.12440
4592	106.00700	108.13617
4593	107.28700	108.14795
4594	108.23500	108.15972
4595	105.27000	108.17149
4596	106.93900	108.18326
4597	108.91500	108.19503
4598	109.07500	108.20680
4599	108.58900	108.21856
4600	108.07000	108.23033
4601	108.79700	108.24209
4602	108.16500	108.25385
4603	109.34700	108.26561
4604	108.74000	108.27737
4605	109.38700	108.28913
4606	107.35200	108.30089
4607	108.49700	108.31265
4608	107.86300	108.32440
4609	108.85700	108.33615
4610	108.44900	108.34791
4611	109.06100	108.35966
4612	107.43900	108.37141
4613	108.29500	108.38315
4614	107.82500	108.39490
4615	108.59000	108.40665
4616	107.32800	108.41839
4617	108.02900	108.43013
4618	108.17200	108.44188
4619	108.08800	108.45362
4620	110.35700	108.46536
4621	107.09200	108.47709
4622	107.74700	108.48883
4623	110.55100	108.50057
4624	108.34600	108.51230
4625	107.52200	108.52403
4626	110.37300	108.53576
4627	106.39400	108.54750
4628	107.24500	108.55922
4629	108.85700	108.57095
4630	107.49400	108.58268
4631	108.12200	108.59440
4632	107.57800	108.60613
4633	107.99700	108.61785
4634	110.21400	108.62957
4635	107.80200	108.64129
4636	108.74100	108.65301
4637	107.84900	108.66473
4638	107.45700	108.67645
4639	109.59600	108.68816
4640	107.94400	108.69988
4641	109.88500	108.71159
4642	107.77800	108.72330
4643	108.98100	108.73501
4644	109.03400	108.74672
4645	108.26100	108.75843
4646	107.42500	108.77013
4647	109.61800	108.78184
4648	109.16900	108.79354
4649	108.24200	108.80524
4650	108.33100	108.81695
4651	107.58200	108.82865
4652	108.57300	108.84035
4653	108.01900	108.85204
4654	108.72600	108.86374
4655	107.00200	108.87543
4656	110.59200	108.88713
4657	108.47700	108.89882
4658	105.55400	108.91051
4659	107.12000	108.92220
4660	109.57400	108.93389
4661	108.29300	108.94558
4662	107.19600	108.95726
4663	109.46200	108.96895
4664	108.42500	108.98063
4665	107.23200	108.99232
4666	107.34200	109.00400
4667	106.76200	109.01568
4668	110.06100	109.02736
4669	108.98500	109.03903
4670	107.76500	109.05071
4671	108.76800	109.06239
4672	109.38200	109.07406
4673	107.40200	109.08573
4674	108.69200	109.09740
4675	108.86100	109.10907
4676	109.70900	109.12074
4677	108.50600	109.13241
4678	109.11400	109.14408
4679	109.34800	109.15574
4680	108.22500	109.16740
4681	108.04800	109.17907
4682	108.61200	109.19073
4683	109.96200	109.20239
4684	109.32900	109.21405
4685	109.33800	109.22570
4686	108.64700	109.23736
4687	108.85800	109.24902
4688	109.62400	109.26067
4689	109.06400	109.27232
4690	108.52900	109.28397
4691	109.38500	109.29562
4692	108.48100	109.30727
4693	108.59200	109.31892
4694	107.59100	109.33057
4695	110.77700	109.34221
4696	108.36700	109.35386
4697	107.93400	109.36550
4698	108.73700	109.37714
4699	109.68600	109.38878
4700	109.23800	109.40042
4701	109.87200	109.41206
4702	109.19200	109.42369
4703	107.72100	109.43533
4704	110.15300	109.44696
4705	110.31200	109.45860
4706	110.69200	109.47023
4707	108.76100	109.48186
4708	111.66500	109.49349
4709	109.77800	109.50511
4710	110.38000	109.51674
4711	110.65400	109.52837
4712	109.45200	109.53999
4713	108.56900	109.55161
4714	109.37200	109.56323
4715	109.86800	109.57486
4716	109.17400	109.58647
4717	111.12500	109.59809
4718	107.95600	109.60971
4719	108.61500	109.62132
4720	110.11500	109.63294
4721	109.56700	109.64455
4722	109.76300	109.65616
4723	108.52300	109.66777
4724	109.27100	109.67938
4725	109.75100	109.69099
4726	110.70400	109.70260
4727	110.98100	109.71420
4728	110.28200	109.72581
4729	111.60500	109.73741
4730	110.35200	109.74901
4731	110.01300	109.76061
4732	111.45600	109.77221
4733	111.07100	109.78381
4734	108.10100	109.79541
4735	110.74500	109.80701
4736	110.33300	109.81860
4737	108.71200	109.83019
4738	112.04300	109.84179
4739	111.58000	109.85338
4740	109.87500	109.86497
4741	108.42600	109.87656
4742	109.91300	109.88814
4743	109.99600	109.89973
4744	108.44100	109.91131
4745	109.58500	109.92290
4746	109.60300	109.93448
4747	110.08100	109.94606
4748	109.76800	109.95764
4749	107.94900	109.96922
4750	111.41200	109.98080
4751	108.92200	109.99237
4752	108.55700	110.00395
4753	110.84900	110.01552
4754	108.16100	110.02709
4755	111.77200	110.03867
4756	110.88400	110.05024
4757	111.62000	110.06181
4758	109.59400	110.07337
4759	111.05200	110.08494
4760	111.04600	110.09651
4761	110.96200	110.10807
4762	109.93800	110.11963
4763	110.51900	110.13119
4764	108.69300	110.14275
4765	109.86200	110.15431
4766	111.09200	110.16587
4767	109.71700	110.17743
4768	108.38600	110.18898
4769	108.72500	110.20054
4770	108.84100	110.21209
4771	108.92800	110.22364
4772	109.12300	110.23519
4773	111.35500	110.24674
4774	110.14300	110.25829
4775	111.81700	110.26984
4776	112.59800	110.28139
4777	110.11000	110.29293
4778	111.56500	110.30447
4779	112.00100	110.31602
4780	109.16900	110.32756
4781	109.38400	110.33910
4782	109.31400	110.35064
4783	108.19800	110.36217
4784	109.95900	110.37371
4785	108.97400	110.38525
4786	112.54700	110.39678
4787	108.28800	110.40831
4788	110.10600	110.41984
4789	110.69500	110.43137
4790	111.22500	110.44290
4791	110.08600	110.45443
4792	109.77000	110.46596
4793	109.82500	110.47748
4794	110.97300	110.48901
4795	109.53300	110.50053
4796	110.33100	110.51205
4797	110.14100	110.52357
4798	111.75000	110.53509
4799	111.92600	110.54661
4800	113.10900	110.55813
4801	111.12800	110.56964
4802	110.68500	110.58116
4803	110.65300	110.59267
4804	111.49300	110.60418
4805	109.68800	110.61570
4806	111.32400	110.62721
4807	110.29200	110.63871
4808	109.05000	110.65022
4809	110.59000	110.66173
4810	109.29300	110.67323
4811	111.76100	110.68474
4812	110.53600	110.69624
4813	110.90600	110.70774
4814	108.84700	110.71924
4815	109.55400	110.73074
4816	110.66000	110.74224
4817	113.17000	110.75373
4818	112.36600	110.76523
4819	109.09200	110.77672
4820	111.32300	110.78822
4821	111.05700	110.79971
4822	110.64400	110.81120
4823	110.57800	110.82269
4824	111.21500	110.83418
4825	110.91600	110.84567
4826	108.86900	110.85715
4827	111.21500	110.86864
4828	112.13700	110.88012
4829	111.67500	110.89160
4830	111.41900	110.90308
4831	110.46300	110.91456
4832	111.55700	110.92604
4833	113.12900	110.93752
4834	110.40500	110.94900
4835	110.65300	110.96047
4836	110.93100	110.97195
4837	110.95800	110.98342
4838	110.10100	110.99489
4839	109.85400	111.00636
4840	109.52000	111.01783
4841	110.66800	111.02930
4842	112.55200	111.04077
4843	108.96800	111.05223
4844	109.31600	111.06370
4845	110.67800	111.07516
4846	111.78100	111.08662
4847	111.68500	111.09808
4848	111.57300	111.10954
4849	112.35300	111.12100
4850	110.67700	111.13246
4851	111.05400	111.14392
4852	110.07900	111.15537
4853	110.60200	111.16683
4854	109.81900	111.17828
4855	109.02100	111.18973
4856	113.37000	111.20118
4857	112.51100	111.21263
4858	110.86800	111.22408
4859	108.61300	111.23552
4860	110.99100	111.24697
4861	110.69800	111.25841
4862	111.74800	111.26986
4863	111.26300	111.28130
4864	111.99000	111.29274
4865	112.08700	111.30418
4866	109.59100	111.31562
4867	111.05400	111.32706
4868	112.11600	111.33849
4869	112.73700	111.34993
4870	111.23500	111.36136
4871	108.89100	111.37280
4872	111.54300	111.38423
4873	111.33600	111.39566
4874	109.58500	111.40709
4875	112.63200	111.41852
4876	111.13500	111.42994
4877	110.41200	111.44137
4878	112.53500	111.45279
4879	111.09100	111.46422
4880	113.15900	111.47564
4881	110.17200	111.48706
4882	111.56300	111.49848
4883	111.27200	111.50990
4884	111.49400	111.52132
4885	111.16300	111.53273
4886	112.46800	111.54415
4887	111.34300	111.55556
4888	112.15600	111.56697
4889	112.18800	111.57839
4890	113.39600	111.58980
4891	111.85900	111.60121
4892	109.42000	111.61261
4893	111.81000	111.62402
4894	110.36000	111.63543
4895	111.36400	111.64683
4896	111.37100	111.65824
4897	112.15900	111.66964
4898	111.59900	111.68104
4899	112.63900	111.69244
4900	110.24300	111.70384
4901	110.08300	111.71524
4902	112.31600	111.72663
4903	109.43900	111.73803
4904	110.01300	111.74942
4905	113.56200	111.76082
4906	111.33200	111.77221
4907	111.93100	111.78360
4908	112.30000	111.79499
4909	111.17700	111.80638
4910	112.15500	111.81776
4911	110.95000	111.82915
4912	113.38700	111.84054
4913	113.91600	111.85192
4914	112.16400	111.86330
4915	112.88200	111.87468
4916	111.48200	111.88606
4917	112.03600	111.89744
4918	112.62400	111.90882
4919	112.56500	111.92020
4920	107.79000	111.93157
4921	112.46200	111.94295
4922	111.78300	111.95432
4923	111.31300	111.96569
4924	113.62200	111.97706
4925	112.19800	111.98843
4926	112.00700	111.99980
4927	111.66900	112.01117
4928	112.98300	112.02254
4929	112.40400	112.03390
4930	111.66300	112.04527
4931	111.18000	112.05663
4932	112.99200	112.06799
4933	112.61700	112.07935
4934	110.47600	112.09071
4935	111.26500	112.10207
4936	111.65800	112.11343
4937	111.88900	112.12478
4938	111.90200	112.13614
4939	113.42500	112.14749
4940	112.53400	112.15885
4941	113.89800	112.17020
4942	112.77800	112.18155
4943	112.93100	112.19290
4944	111.66300	112.20425
4945	113.02300	112.21559
4946	111.59700	112.22694
4947	114.93800	112.23828
4948	112.95600	112.24963
4949	112.28300	112.26097
4950	112.57400	112.27231
4951	112.99900	112.28365
4952	113.43700	112.29499
4953	111.05900	112.30633
4954	113.41500	112.31766
4955	113.61900	112.32900
4956	111.21900	112.34033
4957	112.13000	112.35167
4958	113.34500	112.36300
4959	113.76200	112.37433
4960	113.07700	112.38566
4961	111.28800	112.39699
4962	112.30600	112.40831
4963	113.51100	112.41964
4964	112.11800	112.43097
4965	114.71900	112.44229
4966	110.94200	112.45361
4967	112.46500	112.46494
4968	112.51900	112.47626
4969	112.88100	112.48758
4970	112.69600	112.49889
4971	111.44000	112.51021
4972	111.09600	112.52153
4973	112.62500	112.53284
4974	113.61600	112.54416
4975	113.51600	112.55547
4976	113.92200	112.56678
4977	112.34600	112.57809
4978	112.83800	112.58940
4979	111.54400	112.60071
4980	112.01300	112.61201
4981	113.94900	112.62332
4982	113.15800	112.63463
4983	113.44900	112.64593
4984	112.95200	112.65723
4985	111.64700	112.66853
4986	112.73000	112.67983
4987	112.78000	112.69113
4988	111.72000	112.70243
4989	109.23200	112.71373
4990	111.71000	112.72502
4991	113.70500	112.73632
4992	113.49000	112.74761
4993	113.73800	112.75890
4994	111.22300	112.77019
4995	112.58400	112.78148
4996	112.95000	112.79277
4997	113.14800	112.80406
4998	111.88200	112.81535
4999	113.04900	112.82663
5000	111.44600	112.83792
5001	115.20400	112.84920
5002	112.87600	112.86048
5003	114.68900	112.87176
5004	113.69700	112.88304
5005	112.58100	112.89432
5006	113.55400	112.90560
5007	111.47400	112.91688
5008	112.57600	112.92815
5009	115.15600	112.93943
5010	111.70300	112.95070
5011	112.19100	112.96197
5012	113.32100	112.97324
5013	113.67400	112.98451
5014	113.75200	112.99578
5015	113.49700	113.00705
5016	113.41500	113.01831
5017	111.01600	113.02958
5018	112.88500	113.04084
5019	111.67000	113.05211
5020	113.53900	113.06337
5021	112.80000	113.07463
5022	113.54700	113.08589
5023	112.34400	113.09715
5024	114.02700	113.10840
5025	112.32300	113.11966
5026	113.23300	113.13091
5027	112.41300	113.14217
5028	112.41100	113.15342
5029	114.71900	113.16467
5030	113.63700	113.17592
5031	114.13600	113.18717
5032	109.37200	113.19842
5033	114.02000	113.20967
5034	114.60300	113.22092
5035	112.14600	113.23216
5036	112.70900	113.24340
5037	113.22100	113.25465
5038	113.04600	113.26589
5039	112.26400	113.27713
5040	112.10800	113.28837
5041	111.12900	113.29961
5042	111.80600	113.31084
5043	112.41200	113.32208
5044	113.33500	113.33332
5045	112.78000	113.34455
5046	113.14300	113.35578
5047	113.28000	113.36701
5048	113.67200	113.37825
5049	114.42700	113.38947
5050	111.90300	113.40070
5051	113.05900	113.41193
5052	112.39300	113.42316
5053	112.09800	113.43438
5054	114.27000	113.44561
5055	111.86600	113.45683
5056	113.28400	113.46805
5057	112.94000	113.47927
5058	115.11300	113.49049
5059	116.40000	113.50171
5060	111.65900	113.51293
5061	113.56000	113.52414
5062	113.16500	113.53536
5063	113.58600	113.54657
5064	113.07600	113.55778
5065	112.79200	113.56899
5066	114.69200	113.58021
5067	114.01200	113.59141
5068	114.24000	113.60262
5069	113.82400	113.61383
5070	112.52100	113.62504
5071	114.89800	113.63624
5072	112.16900	113.64745
5073	113.94400	113.65865
5074	113.06900	113.66985
5075	112.93000	113.68105
5076	115.35100	113.69225
5077	114.64600	113.70345
5078	115.31300	113.71465
5079	114.01900	113.72584
5080	111.60400	113.73704
5081	112.60000	113.74823
5082	112.89600	113.75942
5083	112.22400	113.77062
5084	114.36600	113.78181
5085	114.23000	113.79300
5086	115.63900	113.80419
5087	112.28700	113.81537
5088	113.67800	113.82656
5089	113.70100	113.83774
5090	112.27800	113.84893
5091	114.41000	113.86011
5092	113.68900	113.87129
5093	114.19400	113.88247
5094	114.73900	113.89365
5095	113.45800	113.90483
5096	113.45500	113.91601
5097	115.15900	113.92719
5098	113.95400	113.93836
5099	113.61900	113.94954
5100	113.41700	113.96071
5101	113.30900	113.97188
5102	113.68600	113.98305
5103	113.52400	113.99422
5104	114.09100	114.00539
5105	114.90800	114.01656
5106	114.01200	114.02773
5107	112.50600	114.03889
5108	113.71900	114.05006
5109	114.87400	114.06122
5110	114.66200	114.07238
5111	113.91300	114.08354
5112	114.62700	114.09470
5113	112.64800	114.10586
5114	113.54700	114.11702
5115	114.78900	114.12818
5116	114.84300	114.13933
5117	113.07700	114.15049
5118	114.91100	114.16164
5119	113.68800	114.17279
5120	114.56900	114.18394
5121	114.71800	114.19509
5122	112.50200	114.20624
5123	113.47800	114.21739
5124	112.65100	114.22854
5125	113.81500	114.23968
5126	114.02400	114.25083
5127	113.20800	114.26197
5128	113.63400	114.27311
5129	115.33600	114.28426
5130	114.02300	114.29540
5131	115.83300	114.30654
5132	113.08800	114.31767
5133	113.62900	114.32881
5134	113.22600	114.33995
5135	115.35600	114.35108
5136	112.49800	114.36222
5137	113.47200	114.37335
5138	113.48200	114.38448
5139	113.94500	114.39561
5140	112.14600	114.40674
5141	114.38600	114.41787
5142	115.44300	114.42900
5143	115.32700	114.44012
5144	114.96300	114.45125
5145	116.19900	114.46237
5146	111.50800	114.47350
5147	112.91600	114.48462
5148	115.14700	114.49574
5149	115.49600	114.50686
5150	116.62700	114.51798
5151	113.14100	114.52910
5152	113.13800	114.54021
5153	115.38800	114.55133
5154	114.99200	114.56244
5155	113.99600	114.57356
5156	114.29600	114.58467
5157	115.84600	114.59578
5158	115.38300	114.60689
5159	114.05800	114.61800
5160	113.67700	114.62911
5161	113.75700	114.64021
5162	114.80100	114.65132
5163	114.19900	114.66242
5164	114.68900	114.67353
5165	113.91200	114.68463
5166	113.62000	114.69573
5167	114.57100	114.70683
5168	114.82800	114.71793
5169	115.09200	114.72903
5170	115.17000	114.74013
5171	117.71300	114.75122
5172	114.78800	114.76232
5173	115.34300	114.77341
5174	113.10900	114.78451
5175	115.04600	114.79560
5176	115.48000	114.80669
5177	116.08000	114.81778
5178	113.99400	114.82887
5179	116.35200	114.83995
5180	115.01500	114.85104
5181	114.66700	114.86213
5182	114.03200	114.87321
5183	113.66900	114.88429
5184	115.67300	114.89538
5185	115.28200	114.90646
5186	114.36600	114.91754
5187	113.58200	114.92862
5188	116.43100	114.93970
5189	115.19500	114.95077
5190	114.07600	114.96185
5191	113.57400	114.97292
5192	113.92500	114.98400
5193	115.34800	114.99507
5194	114.36400	115.00614
5195	114.29400	115.01721
5196	115.64100	115.02828
5197	114.63400	115.03935
5198	114.32800	115.05042
5199	117.56700	115.06148
5200	115.36200	115.07255
5201	115.10100	115.08361
5202	113.93600	115.09468
5203	115.10200	115.10574
5204	115.12200	115.11680
5205	112.86700	115.12786
5206	115.08200	115.13892
5207	113.58800	115.14997
5208	114.71300	115.16103
5209	113.77100	115.17209
5210	116.05600	115.18314
5211	115.20000	115.19419
5212	118.42700	115.20525
5213	116.06900	115.21630
5214	115.09500	115.22735
5215	114.59900	115.23840
5216	115.11200	115.24945
5217	115.23000	115.26049
5218	116.55000	115.27154
5219	114.25200	115.28258
5220	114.06300	115.29363
5221	115.77000	115.30467
5222	115.40900	115.31571
5223	115.11700	115.32675
5224	114.43200	115.33779
5225	115.49900	115.34883
5226	115.78400	115.35987
5227	114.97600	115.37091
5228	117.54000	115.38194
5229	116.38500	115.39298
5230	116.33000	115.40401
5231	116.23800	115.41504
5232	117.33200	115.42607
5233	113.89000	115.43710
5234	114.82600	115.44813
5235	117.09100	115.45916
5236	116.64800	115.47019
5237	115.60100	115.48121
5238	115.78400	115.49224
5239	115.70900	115.50326
5240	116.75900	115.51429
5241	117.25700	115.52531
5242	115.70000	115.53633
5243	114.43100	115.54735
5244	115.77700	115.55837
5245	116.03500	115.56939
5246	116.48700	115.58040
5247	116.30600	115.59142
5248	115.14700	115.60243
5249	115.73000	115.61345
5250	115.72600	115.62446
5251	114.48300	115.63547
5252	115.30300	115.64648
5253	117.34200	115.65749
5254	114.74300	115.66850
5255	114.69500	115.67950
5256	114.66400	115.69051
5257	115.87100	115.70152
5258	114.26700	115.71252
5259	116.62100	115.72352
5260	115.03000	115.73452
5261	113.60200	115.74552
5262	115.52700	115.75652
5263	115.47100	115.76752
5264	116.27300	115.77852
5265	114.39800	115.78952
5266	115.24600	115.80051
5267	113.85300	115.81151
5268	114.60100	115.82250
5269	115.94800	115.83349
5270	115.84800	115.84449
5271	115.96500	115.85548
5272	116.52000	115.86647
5273	113.65400	115.87745
5274	116.48400	115.88844
5275	118.34100	115.89943
5276	116.00800	115.91041
5277	115.63300	115.92140
5278	117.45800	115.93238
5279	115.30600	115.94336
5280	116.69800	115.95434
5281	117.79600	115.96532
5282	114.94500	115.97630
5283	115.36400	115.98728
5284	117.50900	115.99826
5285	115.63000	116.00923
5286	115.09200	116.02021
5287	115.37100	116.03118
5288	116.59200	116.04215
5289	116.75200	116.05313
5290	117.71400	116.06410
5291	116.74500	116.07507
5292	116.11300	116.08603
5293	117.41300	116.09700
5294	113.99800	116.10797
5295	116.88400	116.11893
5296	115.64400	116.12990
5297	116.83600	116.14086
5298	114.37900	116.15182
5299	114.90100	116.16279
5300	116.72500	116.17375
5301	117.20400	116.18470
5302	118.38100	116.19566
5303	116.68500	116.20662
5304	115.59400	116.21758
5305	115.74500	116.22853
5306	115.19700	116.23949
5307	117.66400	116.25044
5308	113.19400	116.26139
5309	117.71500	116.27234
5310	115.04700	116.28329
5311	115.03200	116.29424
5312	115.79200	116.30519
5313	116.27100	116.31614
5314	116.11400	116.32708
5315	117.35100	116.33803
5316	114.95100	116.34897
5317	116.94300	116.35991
5318	115.60700	116.37085
5319	115.44600	116.38180
5320	116.17200	116.39273
5321	116.96300	116.40367
5322	117.76500	116.41461
5323	115.63500	116.42555
5324	115.80500	116.43648
5325	115.32800	116.44742
5326	115.37400	116.45835
5327	116.81100	116.46928
5328	118.47400	116.48022
5329	117.36100	116.49115
5330	114.94800	116.50208
5331	119.26000	116.51300
5332	117.52500	116.52393
5333	116.53000	116.53486
5334	116.93400	116.54578
5335	113.99200	116.55671
5336	117.25400	116.56763
5337	117.05300	116.57855
5338	115.05400	116.58947
5339	115.25300	116.60039
5340	116.24900	116.61131
5341	115.06500	116.62223
5342	117.27400	116.63315
5343	115.19500	116.64406
5344	115.47700	116.65498
5345	116.75300	116.66589
5346	117.45500	116.67681
5347	116.93700	116.68772
5348	115.45900	116.69863
5349	116.55500	116.70954
5350	117.29300	116.72045
5351	117.26300	116.73136
5352	115.48400	116.74226
5353	117.16200	116.75317
5354	115.41100	116.76407
5355	116.72000	116.77498
5356	119.17500	116.78588
5357	115.75100	116.79678
5358	117.48400	116.80768
5359	115.28900	116.81858
5360	116.51000	116.82948
5361	119.02400	116.84038
5362	116.21300	116.85128
5363	116.89900	116.86217
5364	117.88900	116.87307
5365	117.48500	116.88396
5366	117.94500	116.89485
5367	117.22800	116.90575
5368	116.64800	116.91664
5369	117.26600	116.92753
5370	113.91600	116.93841
5371	116.40700	116.94930
5372	118.25600	116.96019
5373	117.71700	116.97107
5374	119.08100	116.98196
5375	115.64600	116.99284
5376	117.17300	117.00372
5377	118.67600	117.01461
5378	115.95000	117.02549
5379	116.05700	117.03637
5380	119.19600	117.04724
5381	117.12400	117.05812
5382	116.81400	117.06900
5383	117.54200	117.07987
5384	116.58100	117.09075
5385	116.82300	117.10162
5386	116.51500	117.11249
5387	115.08500	117.12337
5388	115.38400	117.13424
5389	116.94300	117.14511
5390	118.38800	117.15597
5391	117.65800	117.16684
5392	119.13000	117.17771
5393	116.04500	117.18857
5394	117.71900	117.19944
5395	117.46100	117.21030
5396	117.20000	117.22116
5397	117.30300	117.23202
5398	117.23800	117.24289
5399	117.84200	117.25374
5400	117.66700	117.26460
5401	116.32100	117.27546
5402	117.17000	117.28632
5403	116.23400	117.29717
5404	115.41300	117.30803
