n	Experimental	Theoretical
265	26.16100	25.97724
266	26.14300	26.02621
267	26.18600	26.07508
268	26.07900	26.12387
269	26.05300	26.17256
270	26.43400	26.22116
271	26.47200	26.26968
272	26.18900	26.31810
273	26.73700	26.36643
274	26.04300	26.41468
275	26.38300	26.46284
276	26.58100	26.51091
277	26.47300	26.55889
278	26.61900	26.60679
279	26.69700	26.65460
280	27.07900	26.70232
281	26.64000	26.74996
282	26.51500	26.79752
283	27.02000	26.84499
284	27.32700	26.89238
285	26.90300	26.93968
286	27.03900	26.98690
287	26.76000	27.03404
288	27.17700	27.08110
289	27.59300	27.12808
290	26.93000	27.17497
291	27.42600	27.22178
292	27.13000	27.26851
293	27.17300	27.31517
294	27.48300	27.36174
295	27.27800	27.40823
296	27.14900	27.45465
297	27.45500	27.50099
298	27.63400	27.54725
299	27.82300	27.59343
300	28.02100	27.63953
301	27.77100	27.68556
302	28.12100	27.73151
303	28.00100	27.77739
304	27.56300	27.82319
305	27.84800	27.86891
306	27.66700	27.91456
307	27.96900	27.96013
308	27.77700	28.00563
309	28.35200	28.05106
310	27.91100	28.09641
311	27.64800	28.14169
312	28.05900	28.18690
313	28.52700	28.23204
314	28.35700	28.27710
315	28.70800	28.32209
316	29.07600	28.36701
317	28.34800	28.41186
318	28.19300	28.45664
319	28.63200	28.50135
320	28.38200	28.54599
321	28.09700	28.59055
322	28.85900	28.63505
323	28.75600	28.67948
324	28.48600	28.72384
325	28.97200	28.76814
326	28.88000	28.81236
327	29.14800	28.85652
328	29.17200	28.90061
329	28.93900	28.94463
330	29.13800	28.98859
331	28.71600	29.03247
332	28.64500	29.07630
333	28.85000	29.12005
334	29.18300	29.16374
335	29.54200	29.20737
336	28.90800	29.25093
337	29.44800	29.29443
338	29.37600	29.33786
339	29.40300	29.38123
340	28.79300	29.42453
341	29.24600	29.46777
342	29.47600	29.51094
343	29.89800	29.55406
344	29.57700	29.59711
345	29.28600	29.64010
346	29.27000	29.68302
347	29.42900	29.72589
348	29.61000	29.76869
349	30.13100	29.81143
350	29.85600	29.85411
351	29.94600	29.89672
