Pas	Experimental	Theoretical
266	114.56900	106.40000
267	113.98300	106.80000
268	115.42100	107.20000
269	115.32000	107.60000
270	115.27800	108.00000
271	115.91100	108.40000
272	116.25300	108.80000
273	116.77500	109.20000
274	117.42500	109.60000
275	117.35400	110.00000
276	116.75200	110.40000
277	118.64000	110.80000
278	118.53600	111.20000
279	119.20600	111.60000
280	118.52800	112.00000
281	119.34600	112.40000
282	120.26000	112.80000
283	120.94200	113.20000
284	121.57500	113.60000
285	121.25700	114.00000
286	121.63800	114.40000
287	121.32100	114.80000
288	121.95200	115.20000
289	121.64700	115.60000
290	122.26300	116.00000
291	125.20200	116.40000
292	122.98100	116.80000
293	124.08700	117.20000
294	125.42800	117.60000
295	124.77800	118.00000
296	125.87100	118.40000
297	126.24200	118.80000
298	125.84900	119.20000
299	126.30600	119.60000
300	126.46800	120.00000
301	126.77500	120.40000
302	128.59300	120.80000
303	127.95400	121.20000
304	127.61200	121.60000
305	127.69000	122.00000
306	128.92000	122.40000
307	128.89700	122.80000
308	130.94500	123.20000
309	129.46800	123.60000
310	130.77400	124.00000
311	130.68600	124.40000
312	131.20500	124.80000
313	130.87000	125.20000
314	133.14400	125.60000
315	132.95100	126.00000
316	132.93000	126.40000
317	133.02600	126.80000
318	131.88600	127.20000
319	134.27900	127.60000
320	134.44300	128.00000
321	133.82800	128.40000
322	134.93600	128.80000
323	134.13000	129.20000
324	135.01100	129.60000
325	135.32600	130.00000
326	135.94700	130.40000
327	136.48400	130.80000
328	136.71800	131.20000
329	137.65400	131.60000
330	137.38000	132.00000
331	138.63600	132.40000
332	137.98100	132.80000
333	139.16200	133.20000
334	139.12200	133.60000
335	140.33000	134.00000
336	138.89400	134.40000
337	139.68900	134.80000
338	140.27000	135.20000
339	139.46000	135.60000
340	141.30300	136.00000
341	142.38800	136.40000
342	142.51900	136.80000
343	142.31200	137.20000
344	143.53500	137.60000
345	143.37000	138.00000
346	143.32500	138.40000
347	144.09400	138.80000
348	143.36800	139.20000
349	143.99100	139.60000
350	144.02300	140.00000
351	145.38000	140.40000
352	145.11100	140.80000
353	146.14000	141.20000
354	146.27700	141.60000
355	145.48600	142.00000
356	147.19100	142.40000
357	147.20500	142.80000
358	148.32600	143.20000
359	147.33100	143.60000
360	148.29800	144.00000
361	148.80600	144.40000
362	148.65700	144.80000
363	149.48900	145.20000
364	149.49200	145.60000
365	149.97900	146.00000
366	151.58300	146.40000
367	151.33900	146.80000
368	150.63100	147.20000
369	151.70800	147.60000
370	153.22400	148.00000
371	151.80800	148.40000
372	152.74500	148.80000
373	152.29200	149.20000
374	154.61300	149.60000
375	153.79200	150.00000
376	152.91000	150.40000
377	155.15400	150.80000
378	155.23600	151.20000
379	155.17500	151.60000
380	153.87000	152.00000
381	155.48400	152.40000
382	155.78700	152.80000
383	156.68000	153.20000
384	155.83100	153.60000
385	156.61500	154.00000
386	157.11900	154.40000
387	158.77300	154.80000
388	159.45300	155.20000
389	157.82400	155.60000
390	159.05200	156.00000
391	159.84700	156.40000
392	160.81300	156.80000
393	160.34700	157.20000
394	161.13700	157.60000
395	159.72600	158.00000
396	160.97200	158.40000
397	161.33600	158.80000
398	162.00600	159.20000
399	163.85800	159.60000
400	161.71100	160.00000
401	163.62900	160.40000
402	163.11700	160.80000
403	163.84000	161.20000
404	163.87400	161.60000
405	164.62100	162.00000
406	163.71100	162.40000
407	165.48800	162.80000
408	163.61400	163.20000
409	165.50900	163.60000
410	165.71400	164.00000
411	166.72000	164.40000
412	164.83100	164.80000
413	167.88000	165.20000
414	166.94600	165.60000
415	168.60400	166.00000
416	167.95400	166.40000
417	169.04400	166.80000
418	168.60100	167.20000
419	169.66000	167.60000
420	170.08100	168.00000
421	171.35900	168.40000
422	171.10800	168.80000
423	169.44300	169.20000
424	170.11900	169.60000
425	171.89100	170.00000
426	171.81000	170.40000
427	170.71300	170.80000
428	172.70700	171.20000
429	172.17700	171.60000
430	173.18400	172.00000
431	174.68500	172.40000
432	173.34400	172.80000
433	174.89700	173.20000
434	175.32100	173.60000
435	172.97800	174.00000
436	175.59400	174.40000
437	176.30700	174.80000
438	176.51100	175.20000
439	175.47900	175.60000
440	177.35100	176.00000
441	176.36200	176.40000
442	176.90300	176.80000
443	177.00500	177.20000
444	179.18100	177.60000
445	177.85600	178.00000
446	179.55100	178.40000
447	178.43700	178.80000
448	179.20400	179.20000
449	179.90700	179.60000
450	178.43500	180.00000
451	180.71200	180.40000
452	181.96600	180.80000
453	181.19100	181.20000
454	180.69100	181.60000
455	182.52900	182.00000
456	182.16400	182.40000
457	182.53400	182.80000
458	181.72800	183.20000
459	183.59200	183.60000
460	184.18900	184.00000
461	185.69900	184.40000
462	185.02500	184.80000
463	186.17900	185.20000
464	185.57000	185.60000
465	184.80000	186.00000
466	184.58800	186.40000
467	187.24200	186.80000
468	187.10100	187.20000
469	186.66100	187.60000
470	187.54900	188.00000
471	188.89900	188.40000
472	187.20100	188.80000
473	187.57900	189.20000
474	190.03500	189.60000
475	188.96200	190.00000
476	189.46700	190.40000
477	189.39800	190.80000
478	188.76500	191.20000
479	188.90700	191.60000
480	192.05700	192.00000
481	190.90900	192.40000
482	192.52400	192.80000
483	192.81800	193.20000
484	192.06100	193.60000
485	191.72100	194.00000
486	192.75100	194.40000
487	194.39100	194.80000
488	193.58200	195.20000
489	194.42000	195.60000
490	194.33400	196.00000
491	195.46300	196.40000
492	194.30600	196.80000
493	193.81800	197.20000
494	196.32400	197.60000
495	196.35400	198.00000
496	197.00800	198.40000
497	196.72800	198.80000
498	198.14400	199.20000
499	197.32200	199.60000
500	197.39400	200.00000
501	197.62100	200.40000
502	197.52100	200.80000
503	197.96000	201.20000
504	199.94100	201.60000
505	199.88700	202.00000
506	199.29800	202.40000
507	198.60500	202.80000
508	199.24000	203.20000
509	201.35300	203.60000
510	201.86500	204.00000
511	201.83600	204.40000
512	202.17300	204.80000
513	202.14900	205.20000
514	202.31200	205.60000
515	201.52500	206.00000
516	203.63800	206.40000
517	202.72900	206.80000
518	201.92300	207.20000
519	202.58100	207.60000
520	204.36100	208.00000
521	203.91200	208.40000
522	204.62100	208.80000
523	204.43700	209.20000
524	205.37100	209.60000
525	206.45200	210.00000
526	206.27600	210.40000
527	208.21100	210.80000
528	208.42500	211.20000
529	208.35700	211.60000
530	208.79100	212.00000
531	205.76200	212.40000
532	207.17000	212.80000
533	209.35700	213.20000
534	208.86900	213.60000
535	208.37000	214.00000
536	210.83400	214.40000
537	210.24300	214.80000
538	211.15000	215.20000
539	209.75000	215.60000
540	211.32300	216.00000
541	211.39100	216.40000
542	213.43500	216.80000
543	214.44800	217.20000
544	213.54600	217.60000
545	213.61700	218.00000
546	213.07100	218.40000
547	213.45100	218.80000
548	213.27600	219.20000
549	215.05000	219.60000
550	215.91300	220.00000
551	216.25700	220.40000
552	216.97300	220.80000
553	215.57400	221.20000
554	218.40500	221.60000
555	216.28800	222.00000
556	216.51200	222.40000
557	215.16000	222.80000
558	216.96600	223.20000
559	218.10900	223.60000
560	217.39400	224.00000
561	219.05500	224.40000
562	218.17400	224.80000
563	218.20200	225.20000
564	221.06800	225.60000
565	218.44800	226.00000
566	219.84000	226.40000
567	222.29500	226.80000
568	219.96600	227.20000
569	221.05500	227.60000
570	219.39900	228.00000
571	221.06600	228.40000
572	221.62800	228.80000
573	222.82800	229.20000
574	223.72500	229.60000
575	222.38900	230.00000
